orphanet_id,disease_name,gene,inheritance,primary_tissues,prevalence,omim_ids,cohort_role,manual_fact_check_status,source_url,notes,uniprot_url,cds_length_bp
ORPHA:98878,Hemophilia A,F8,X-linked recessive,liver,1-5/10000,306700,positive_control,source_checked,https://www.orpha.net/en/disease/detail/98878,approved AAV gene therapy precedent (Roctavian); positive control,https://www.uniprot.org/uniprotkb/P00451,4374
ORPHA:98879,Hemophilia B,F9,X-linked recessive,liver,1-5/100000,306900,positive_control,source_checked,https://www.orpha.net/en/disease/detail/98879,approved AAV5 liver precedent (Hemgenix); positive control,https://www.uniprot.org/uniprotkb/P00740,1383
ORPHA:277,Severe combined immunodeficiency due to adenosine deaminase deficiency,ADA,Autosomal recessive,hematopoietic,1-9/1000000,102700,benchmark_with_known_gt_precedent,source_checked,https://www.orpha.net/en/disease/detail/277,approved ex vivo/lentiviral HSC precedent; positive control,https://www.uniprot.org/uniprotkb/P00813,1092
ORPHA:70,Spinal Muscular Atrophy,SMN1,Autosomal recessive,CNS; muscle,1-5/10000,253300,positive_control,source_checked,https://www.orpha.net/en/disease/detail/70,approved AAV9 precedent; positive control,https://www.uniprot.org/uniprotkb/Q16637,891
ORPHA:98896,Duchenne muscular dystrophy,DMD,X-linked recessive,muscle; heart,1-5/10000,310200,oversized_cargo_stress_test,source_checked,https://www.orpha.net/en/disease/detail/98896,oversized native gene; micro-dystrophin precedent tests cargo-limit handling,https://www.uniprot.org/uniprotkb/P11532,11055
ORPHA:104,Leber hereditary optic neuropathy,MT-ND4,Mitochondrial inheritance,retina; CNS,1-9/100000,535000,mitochondrial_stress_test,source_checked,https://www.orpha.net/en/disease/detail/104,mitochondrial gene delivery stress test,https://www.uniprot.org/uniprotkb/P03905,1377
ORPHA:49382,Achromatopsia,CNGB3,Autosomal recessive,retina,1-9/100000,262300,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/49382,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/Q9NQW8,2427
ORPHA:61,Alpha-mannosidosis,MAN2B1,Autosomal recessive,CNS; liver,1-9/1000000,248500,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/61,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/O00754,3033
ORPHA:180,Choroideremia,CHM,X-linked recessive,retina,1-9/100000,303100,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/180,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P24386,1962
ORPHA:79234,Crigler-Najjar syndrome type I,UGT1A1,Autosomal recessive,liver,<1/1000000,218800,pilot_cohort,source_checked,https://www.orpha.net/en/disease/detail/79234,selected to broaden tissue/pathway coverage of the monogenic GT matching cohort,https://www.uniprot.org/uniprotkb/P22309,1596
